x (µm)	y (µm)	n (1/µm^2)
-23.45	33.768	0.07142405
-22.512	33.768	0
-21.574	33.768	0.013195419
-20.636	33.768	0
-19.698	33.768	0.435478515
-18.76	33.768	0
-17.822	33.768	0
-16.884	33.768	0.041979596
-15.946	33.768	0.220269977
-15.008	33.768	0.3227108
-14.07	33.768	0
-13.132	33.768	0.256414085
-12.194	33.768	0
-11.256	33.768	0
-10.318	33.768	0.285833932
-9.38	33.768	0.297172247
-8.442	33.768	0.234138052
-7.504	33.768	0
-6.566	33.768	0.807181717
-5.628	33.768	0
-4.69	33.768	0.360138662
-3.752	33.768	0
-2.814	33.768	0.334990822
-1.876	33.768	0.006941615
-0.938	33.768	0
0	33.768	0.029751803
0.938	33.768	0.030525632
1.876	33.768	0.133716954
2.814	33.768	0
3.752	33.768	0.16422638
4.69	33.768	0.327059545
5.628	33.768	0.092712093
6.566	33.768	0.075828205
7.504	33.768	0.201512347
8.442	33.768	0.369698835
9.38	33.768	0.523880152
10.318	33.768	0.080658641
11.256	33.768	0.421637706
12.194	33.768	0.100099112
13.132	33.768	0
14.07	33.768	0.326604459
15.008	33.768	0.630148202
15.946	33.768	0.144611801
16.884	33.768	0
17.822	33.768	0
18.76	33.768	0.331972488
19.698	33.768	0.383765216
20.636	33.768	0.45611236
21.574	33.768	0.197835484
22.512	33.768	0.233636702
23.45	33.768	0.165974708
-23.45	32.83	0
-22.512	32.83	0
-21.574	32.83	0.381735697
-20.636	32.83	0.045411877
-19.698	32.83	0.188887546
-18.76	32.83	0
-17.822	32.83	0
-16.884	32.83	0.6270343
-15.946	32.83	0.253462477
-15.008	32.83	0
-14.07	32.83	0.387175184
-13.132	32.83	0.017921835
-12.194	32.83	0.149056977
-11.256	32.83	0
-10.318	32.83	0.285706007
-9.38	32.83	0
-8.442	32.83	0.144482358
-7.504	32.83	0
-6.566	32.83	0.074880891
-5.628	32.83	0
-4.69	32.83	0.210289819
-3.752	32.83	0.120280166
-2.814	32.83	0.117651809
-1.876	32.83	0
-0.938	32.83	0.680807522
0	32.83	0
0.938	32.83	0
1.876	32.83	0.917874866
2.814	32.83	0.003303164
3.752	32.83	0
4.69	32.83	0.01531298
5.628	32.83	0
6.566	32.83	0.014441789
7.504	32.83	0
8.442	32.83	0
9.38	32.83	0.015039123
10.318	32.83	0.540568105
11.256	32.83	0
12.194	32.83	0
13.132	32.83	0.306962678
14.07	32.83	0
15.008	32.83	0.097515945
15.946	32.83	0
16.884	32.83	0.074102051
17.822	32.83	0.096226697
18.76	32.83	0.037649434
19.698	32.83	0
20.636	32.83	0.667633801
21.574	32.83	0.18116384
22.512	32.83	0.946649136
23.45	32.83	0
-23.45	31.892	0
-22.512	31.892	0
-21.574	31.892	0
-20.636	31.892	0
-19.698	31.892	0
-18.76	31.892	0
-17.822	31.892	0.713043086
-16.884	31.892	0
-15.946	31.892	0.23296429
-15.008	31.892	0.3266849
-14.07	31.892	0.212498807
-13.132	31.892	0.212615933
-12.194	31.892	0
-11.256	31.892	0
-10.318	31.892	0.85074668
-9.38	31.892	0.173091739
-8.442	31.892	0
