ω/ωB    	 Atilde  	 d(Atilde)
0.364431	 0.116716	 0.0486021
0.510204	 0.296552	 0.0461296
0.583090	 0.367444	 0.0439624
0.655977	 0.443835	 0.0386300
0.728863	 0.455358	 0.0349693
0.801749	 0.477482	 0.0449825
0.874636	 0.371725	 0.0401406
0.947522	 0.318596	 0.0345416
1.020410	 0.410103	 0.0327797
1.093290	 0.508891	 0.0444598
1.166180	 0.465865	 0.0343206
1.239070	 0.387675	 0.0309438
1.384840	 0.300075	 0.0343795
1.530610	 0.129855	 0.0305271
1.676380	 0.038925	 0.0304775
0.218659	 0.054968	 0.0441191
