ω/ωB(blue)	 S (blue)	 dS (blue)
0.364431  	 0.440195	 0.1833030
0.510204  	 0.798894	 0.1242700
0.583090  	 0.866138	 0.1036280
0.655977  	 0.929962	 0.0809409
0.728863  	 0.858695	 0.0659437
0.801749  	 0.818560	 0.0771145
0.874636  	 0.584152	 0.0630795
0.947522  	 0.462149	 0.0501055
1.020410  	 0.552396	 0.0441532
1.093290  	 0.639764	 0.0558936
1.166180  	 0.549068	 0.0404502
1.239070  	 0.430036	 0.0343250
1.384840  	 0.297825	 0.0341217
1.530610  	 0.116607	 0.0274127
1.676380  	 0.031915	 0.0249883
0.218659  	 0.345521	 0.2773260
