k	e	err(e)
Å-1	meV	meV
0.000	0.0000	--
0.002	0.0031	--
0.004	0.0063	--
0.006	0.0094	--
0.008	0.0125	--
0.010	0.0157	--
0.012	0.0188	--
0.014	0.0220	--
0.016	0.0251	--
0.018	0.0282	--
0.020	0.0314	--
0.022	0.0345	--
0.024	0.0377	--
0.026	0.0408	--
0.028	0.0440	--
0.030	0.0471	--
0.032	0.0503	--
0.034	0.0534	--
0.036	0.0566	--
0.038	0.0597	--
0.040	0.0629	--
0.042	0.0660	--
0.044	0.0692	--
0.046	0.0724	--
0.048	0.0755	--
0.050	0.0787	--
0.052	0.0819	--
0.054	0.0850	--
0.056	0.0882	--
0.058	0.0914	--
0.060	0.0946	--
0.062	0.0977	--
0.064	0.1009	--
0.066	0.1041	--
0.068	0.1073	--
0.070	0.1105	--
0.072	0.1137	--
0.074	0.1169	--
0.076	0.1201	--
0.078	0.1233	--
0.080	0.1265	--
0.082	0.1297	--
0.084	0.1329	--
0.086	0.1361	--
0.088	0.1393	--
0.090	0.1426	--
0.092	0.1458	--
0.094	0.1490	--
0.096	0.1522	--
0.098	0.1555	--
0.100	0.1587	--
0.102	0.1620	--
0.104	0.1652	--
0.106	0.1684	--
0.108	0.1717	--
0.110	0.1749	--
0.112	0.1782	--
0.114	0.1815	--
0.116	0.1847	--
0.118	0.1880	--
0.120	0.1913	--
0.122	0.1945	--
0.124	0.1978	--
0.126	0.2011	--
0.128	0.2044	--
0.130	0.2076	--
0.132	0.2109	--
0.134	0.2142	--
0.136	0.2175	--
0.138	0.2208	--
0.140	0.2241	--
0.142	0.2274	--
0.144	0.2307	--
0.146	0.2340	--
0.148	0.2373	--
0.150	0.2407	0.0014
0.152	0.2440	--
0.154	0.2473	--
0.156	0.2506	--
0.158	0.2539	--
0.160	0.2573	--
0.162	0.2606	--
0.164	0.2639	--
0.166	0.2673	--
0.168	0.2706	--
0.170	0.2740	--
0.172	0.2773	--
0.174	0.2806	--
0.176	0.2840	--
0.178	0.2873	--
0.180	0.2907	--
0.182	0.2941	--
0.184	0.2974	--
0.186	0.3008	--
0.188	0.3041	--
0.190	0.3075	--
0.192	0.3109	--
0.194	0.3142	--
0.196	0.3176	--
0.198	0.3210	--
0.200	0.3244	--
0.202	0.3277	--
0.204	0.3311	--
0.206	0.3345	--
0.208	0.3379	--
0.210	0.3413	--
0.212	0.3447	--
0.214	0.3480	--
0.216	0.3514	--
0.218	0.3548	--
0.220	0.3582	--
0.222	0.3616	--
0.224	0.3650	--
0.226	0.3684	--
0.228	0.3718	--
0.230	0.3752	--
0.232	0.3786	--
0.234	0.3820	--
0.236	0.3854	--
0.238	0.3888	--
0.240	0.3922	--
0.242	0.3956	0.0010
0.244	0.3990	--
0.246	0.4024	--
0.248	0.4058	--
0.250	0.4092	--
0.252	0.4126	--
0.254	0.4160	--
0.256	0.4194	--
0.258	0.4228	--
0.260	0.4262	--
0.262	0.4296	--
0.264	0.4329	--
0.266	0.4363	--
0.268	0.4397	--
0.270	0.4431	--
0.272	0.4465	--
0.274	0.4499	--
0.276	0.4533	--
0.278	0.4567	--
0.280	0.4601	--
0.282	0.4635	--
0.284	0.4668	--
0.286	0.4702	--
0.288	0.4736	--
0.290	0.4770	--
0.292	0.4804	--
0.294	0.4837	--
0.296	0.4871	--
0.298	0.4905	0.0010
0.300	0.4938	--
0.302	0.4989	--
0.304	0.5018	--
0.306	0.5058	--
0.308	0.5087	--
0.310	0.5113	--
0.312	0.5148	--
0.314	0.5178	--
0.316	0.5216	--
0.318	0.5244	--
0.320	0.5280	--
0.322	0.5315	--
0.324	0.5349	--
0.326	0.5387	--
0.328	0.5420	--
0.330	0.5446	--
0.332	0.5483	--
0.334	0.5515	--
0.336	0.5549	--
0.338	0.5583	--
0.340	0.5616	--
0.342	0.5645	--
0.344	0.5675	--
0.346	0.5719	--
0.348	0.5755	--
0.350	0.5782	0.0011
0.352	0.5809	--
0.354	0.5840	--
0.356	0.5879	--
0.358	0.5904	--
0.360	0.5952	--
0.362	0.5967	--
0.364	0.6007	--
0.366	0.6041	--
0.368	0.6067	--
0.370	0.6098	--
0.372	0.6143	--
0.374	0.6164	--
0.376	0.6202	--
0.378	0.6224	--
0.380	0.6258	--
0.382	0.6287	--
0.384	0.6331	--
0.386	0.6358	--
0.388	0.6396	--
0.390	0.6431	--
0.392	0.6458	--
0.394	0.6484	--
0.396	0.6509	--
0.398	0.6551	--
0.400	0.6581	0.0012
0.402	0.6605	--
0.404	0.6631	--
0.406	0.6671	--
0.408	0.6708	--
0.410	0.6739	--
0.412	0.6758	--
0.414	0.6790	--
0.416	0.6822	--
0.418	0.6856	--
0.420	0.6882	--
0.422	0.6927	--
0.424	0.6953	--
0.426	0.6974	--
0.428	0.7013	--
0.430	0.7044	--
0.432	0.7071	--
0.434	0.7102	--
0.436	0.7131	--
0.438	0.7167	--
0.440	0.7201	--
0.442	0.7222	--
0.444	0.7246	--
0.446	0.7269	--
0.448	0.7311	--
0.450	0.7338	0.0013
0.452	0.7370	--
0.454	0.7399	--
0.456	0.7434	--
0.458	0.7442	--
0.460	0.7487	--
0.462	0.7510	--
0.464	0.7537	--
0.466	0.7568	--
0.468	0.7592	--
0.470	0.7629	--
0.472	0.7660	--
0.474	0.7689	--
0.476	0.7716	--
0.478	0.7739	--
0.480	0.7758	--
0.482	0.7788	--
0.484	0.7826	--
0.486	0.7859	--
0.488	0.7880	--
0.490	0.7900	--
0.492	0.7918	--
0.494	0.7956	--
0.496	0.7981	--
0.498	0.8016	--
0.500	0.8040	0.0014
0.502	0.8070	--
0.504	0.8096	--
0.506	0.8122	--
0.508	0.8159	--
0.510	0.8179	--
0.512	0.8203	--
0.514	0.8245	--
0.516	0.8257	--
0.518	0.8287	--
0.520	0.8322	--
0.522	0.8338	--
0.524	0.8370	--
0.526	0.8384	--
0.528	0.8405	--
0.530	0.8446	--
0.532	0.8466	--
0.534	0.8496	--
0.536	0.8513	--
0.538	0.8541	--
0.540	0.8571	--
0.542	0.8600	--
0.544	0.8619	--
0.546	0.8636	--
0.548	0.8665	--
0.550	0.8701	0.0015
0.552	0.8718	--
0.554	0.8742	--
0.556	0.8772	--
0.558	0.8801	--
0.560	0.8823	--
0.562	0.8843	--
0.564	0.8870	--
0.566	0.8894	--
0.568	0.8912	--
0.570	0.8937	--
0.572	0.8961	--
0.574	0.8997	--
0.576	0.9008	--
0.578	0.9021	--
0.580	0.9052	--
0.582	0.9077	--
0.584	0.9108	--
0.586	0.9113	--
0.588	0.9145	--
0.590	0.9177	--
0.592	0.9204	--
0.594	0.9212	--
0.596	0.9231	--
0.598	0.9253	--
0.600	0.9279	0.0016
0.602	0.9308	--
0.604	0.9340	--
0.606	0.9365	--
0.608	0.9367	--
0.610	0.9390	--
0.612	0.9406	--
0.614	0.9434	--
0.616	0.9462	--
0.618	0.9488	--
0.620	0.9506	--
0.622	0.9536	--
0.624	0.9553	--
0.626	0.9583	--
0.628	0.9596	--
0.630	0.9612	--
0.632	0.9641	--
0.634	0.9654	--
0.636	0.9673	--
0.638	0.9690	--
0.640	0.9715	--
0.642	0.9733	--
0.644	0.9746	--
0.646	0.9764	--
0.648	0.9791	--
0.650	0.9812	--
0.652	0.9839	--
0.654	0.9853	--
0.656	0.9873	--
0.658	0.9887	--
0.660	0.9901	--
0.662	0.9919	--
0.664	0.9953	--
0.666	0.9973	--
0.668	0.9985	--
0.670	1.0004	--
0.672	1.0025	--
0.674	1.0048	--
0.676	1.0061	--
0.678	1.0084	--
0.680	1.0105	--
0.682	1.0122	--
0.684	1.0139	--
0.686	1.0155	--
0.688	1.0164	--
0.690	1.0176	--
0.692	1.0197	--
0.694	1.0216	--
0.696	1.0238	--
0.698	1.0257	--
0.700	1.0267	0.0018
0.702	1.0295	--
0.704	1.0313	--
0.706	1.0323	--
0.708	1.0336	--
0.710	1.0360	--
0.712	1.0370	--
0.714	1.0393	--
0.716	1.0412	--
0.718	1.0415	--
0.720	1.0440	--
0.722	1.0461	--
0.724	1.0479	--
0.726	1.0490	--
0.728	1.0503	--
0.730	1.0525	--
0.732	1.0542	--
0.734	1.0554	--
0.736	1.0566	--
0.738	1.0580	--
0.740	1.0594	--
0.742	1.0611	--
0.744	1.0625	--
0.746	1.0637	--
0.748	1.0653	--
0.750	1.0667	--
0.752	1.0684	--
0.754	1.0699	--
0.756	1.0714	--
0.758	1.0724	--
0.760	1.0744	--
0.762	1.0743	--
0.764	1.0776	--
0.766	1.0786	--
0.768	1.0810	--
0.770	1.0814	--
0.772	1.0828	--
0.774	1.0845	--
0.776	1.0861	--
0.778	1.0868	--
0.780	1.0880	--
0.782	1.0894	--
0.784	1.0910	--
0.786	1.0921	--
0.788	1.0934	--
0.790	1.0942	--
0.792	1.0959	--
0.794	1.0975	--
0.796	1.0981	--
0.798	1.0995	--
0.800	1.1002	0.0019
0.802	1.1022	--
0.804	1.1034	--
0.806	1.1041	--
0.808	1.1062	--
0.810	1.1073	--
0.812	1.1074	--
0.814	1.1101	--
0.816	1.1103	--
0.818	1.1117	--
0.820	1.1129	--
0.822	1.1138	--
0.824	1.1143	--
0.826	1.1162	--
0.828	1.1170	--
0.830	1.1189	--
0.832	1.1192	--
0.834	1.1209	--
0.836	1.1204	--
0.838	1.1233	--
0.840	1.1233	--
0.842	1.1249	--
0.844	1.1247	--
0.846	1.1268	--
0.848	1.1276	--
0.850	1.1280	--
0.852	1.1300	--
0.854	1.1311	--
0.856	1.1322	--
0.858	1.1340	--
0.860	1.1335	--
0.862	1.1351	--
0.864	1.1361	--
0.866	1.1367	--
