Temp	CvTotal	err	CvPhonons	CvRotons		Stotal
K	J/(K.mol)		J/(K.mol)	J/(K.mol)		J/(K.mol)
0.01	8.309E-8		8.309E-8	0	--	2.763E-8
0.02	6.645E-7		6.645E-7	6.55E-182	--	2.214E-7
0.03	2.242E-6		2.242E-6	7.09E-120	--	7.471E-7
0.04	5.312E-6		5.312E-6	6.5E-89	--	1.771E-6
0.05	1.037E-5	1.3E-8	1.037E-5	2.27E-70	--	3.459E-6
0.06	1.791E-5	--	1.791E-5	4.98E-58	--	5.974E-6
0.07	2.841E-5	--	2.841E-5	3.13E-49	--	9.482E-6
0.08	4.238E-5	--	4.238E-5	1.21E-42	--	1.415E-5
0.09	6.028E-5	--	6.028E-5	1.58E-37	--	2.013E-5
0.1	8.26E-5	1.1E-7	8.26E-5	1.92E-33	--	2.76E-5
0.11	1.098E-4	--	1.098E-4	4.17E-30	--	3.67E-5
0.12	1.424E-4	--	1.424E-4	2.48E-27	--	4.762E-5
0.13	1.808E-4	--	1.808E-4	5.49E-25	--	6.049E-5
0.14	2.255E-4	--	2.255E-4	5.57E-23	--	7.55E-5
0.15	2.77E-4	--	2.77E-4	3.03E-21	--	9.276E-5
0.16	3.357E-4	--	3.357E-4	9.95E-20	--	1.124E-4
0.17	4.02E-4	--	4.02E-4	2.15E-18	--	1.347E-4
0.18	4.764E-4	--	4.764E-4	3.29E-17	--	1.598E-4
0.19	5.594E-4	--	5.594E-4	3.77E-16	--	1.877E-4
0.2	6.513E-4	1.1E-6	6.513E-4	3.36E-15	--	2.187E-4
0.21	7.527E-4	--	7.527E-4	2.43E-14	--	2.529E-4
0.22	8.639E-4	--	8.639E-4	1.46E-13	--	2.904E-4
0.23	9.853E-4	--	9.853E-4	7.52E-13	--	3.315E-4
0.24	0.001117	--	0.001117	3.36E-12	--	3.762E-4
0.25	0.001261	--	0.001261	1.33E-11	--	4.247E-4
0.26	0.001415	--	0.001415	4.72E-11	--	4.771E-4
0.27	0.001582	--	0.001582	1.52E-10	--	5.336E-4
0.28	0.001761	--	0.001761	4.51E-10	--	5.943E-4
0.29	0.001953	--	0.001953	1.23E-9	--	6.594E-4
0.3	0.002157	5.7E-6	0.002157	3.17E-9	--	7.29E-4
0.31	0.002376	--	0.002376	7.63E-9	--	8.033E-4
0.32	0.002608	--	0.002608	1.735E-8	--	8.823E-4
0.33	0.002854	--	0.002854	3.752E-8	--	9.663E-4
0.34	0.003116	--	0.003116	7.742E-8	--	0.001055
0.35	0.003392	--	0.003392	1.531E-7	--	0.001149
0.36	0.003684	--	0.003684	2.911E-7	--	0.001249
0.37	0.003992	--	0.003991	5.343E-7	--	0.001354
0.38	0.004316	--	0.004315	9.488E-7	--	0.001465
0.39	0.004657	--	0.004655	1.634E-6	--	0.001582
0.4	0.005016	1.8E-5	0.005013	2.738E-6	--	0.001704
0.41	0.005392	--	0.005388	4.468E-6	--	0.001832
0.42	0.005787	--	0.00578	7.119E-6	--	0.001967
0.43	0.006202	--	0.006191	1.109E-5	--	0.002108
0.44	0.006637	--	0.00662	1.692E-5	--	0.002255
0.45	0.007094	--	0.007069	2.532E-5	--	0.002409
0.46	0.007573	--	0.007536	3.721E-5	--	0.00257
0.47	0.008077	--	0.008023	5.377E-5	--	0.002739
0.48	0.008607	--	0.008531	7.647E-5	--	0.002914
0.49	0.009166	--	0.009059	1.071E-4	--	0.003097
0.5	0.009756	3.7E-5	0.009607	1.48E-4	--	0.003288
