T	Nphon/atom	Nrot/atom	Nexc/atom
0.05	1.16E-07	9.13E-76	1.16E-07
0.1	9.23E-07	3.08E-38	9.23E-07
0.15	3.11E-06	1.09E-25	3.11E-06
0.2	7.34E-06	2.14E-19	7.34E-06
0.25	1.43E-05	1.31E-15	1.43E-05
0.3	2.46E-05	4.47E-13	2.46E-05
0.35	3.88E-05	2.92E-11	3.88E-05
0.4	5.77E-05	6.77E-10	5.77E-05
0.45	8.17E-05	7.87E-09	8.17E-05
0.5	1.11E-04	5.64E-08	1.12E-04
0.55	1.48E-04	2.84E-07	1.48E-04
0.6	1.91E-04	1.10E-06	1.92E-04
0.65	2.41E-04	3.46E-06	2.45E-04
0.7	3.00E-04	9.27E-06	3.09E-04
0.75	3.67E-04	2.19E-05	3.89E-04
0.8	4.43E-04	4.65E-05	4.90E-04
0.85	5.30E-04	9.07E-05	6.20E-04
0.9	6.27E-04	1.65E-04	7.91E-04
0.95	7.35E-04	2.81E-04	0.00102
1	8.55E-04	4.56E-04	0.00131
1.05	9.88E-04	7.09E-04	0.00170
1.1	0.00114	0.00106	0.00219
1.15	0.00130	0.00153	0.00283
1.2	0.00148	0.00215	0.00363
1.25	0.00167	0.00294	0.00461
1.3	0.00188	0.00394	0.00583
1.35	0.00212	0.00517	0.00729
1.4	0.00237	0.00667	0.00904
1.45	0.00265	0.00846	0.0111
1.5	0.00295	0.0106	0.0135
1.55	0.00328	0.0131	0.0163
1.6	0.00363	0.0159	0.0196
1.65	0.00401	0.0192	0.0232
1.7	0.00443	0.0230	0.0274
1.75	0.00487	0.0272	0.0321
1.8	0.00535	0.0320	0.0373
1.85	0.00586	0.0373	0.0432
1.9	0.00640	0.0432	0.0496
1.95	0.00699	0.0497	0.0567
2	0.00761	0.0569	0.0645
2.05	0.00827	0.0647	0.0730
2.1	0.00897	0.0732	0.0822
2.15	0.00971	0.0825	0.0922
2.2	0.0105	0.0925	0.103
