N,convention,f,D,tau,attained
4,sum,0.125,0.0,0.9931891088213937,1
4,max,0.125,0.0,1.1069995675032605,1
4,sum,0.25,0.0,1.498549718892921,1
4,max,0.25,0.0,1.6285762491049307,1
4,sum,0.125,0.2,nan,0
4,sum,0.125,0.15,10.685445643431029,1
4,sum,0.125,0.1,2.6594030228791765,1
4,sum,0.125,0.07,1.1015284983129527,1
4,sum,0.125,0.05,1.0077451835285942,1
4,sum,0.125,0.035,0.9716901012687628,1
4,sum,0.125,0.025,0.9634877318887436,1
4,sum,0.125,0.018,0.9640599022453399,1
4,sum,0.25,0.2,nan,0
4,sum,0.25,0.15,nan,0
4,sum,0.25,0.1,17.57878487825604,1
4,sum,0.25,0.07,2.4869691630337165,1
4,sum,0.25,0.05,1.9831247568412778,1
4,sum,0.25,0.035,1.8969349646308635,1
4,sum,0.25,0.025,1.1690804456049098,1
4,sum,0.25,0.018,1.1503067163939598,1
4,max,0.125,0.2,nan,0
4,max,0.125,0.15,nan,0
4,max,0.125,0.1,2.914947449287504,1
4,max,0.125,0.07,2.429416479822981,1
4,max,0.125,0.05,1.8973941272605532,1
4,max,0.125,0.035,1.0852791295948232,1
4,max,0.125,0.025,1.0426122573204675,1
4,max,0.125,0.018,1.0374764765288524,1
4,max,0.25,0.2,nan,0
4,max,0.25,0.15,nan,0
4,max,0.25,0.1,nan,0
4,max,0.25,0.07,2.8915084481799473,1
4,max,0.25,0.05,2.0377036764561263,1
4,max,0.25,0.035,1.9669722589800265,1
4,max,0.25,0.025,1.2847423225628996,1
4,max,0.25,0.018,1.2084094221852466,1
